job_title,job_description,salary,location,position,company,date
TRAINEE: Front Office Developer for Security Finance and Delta1,"TRAINEE: Front Office Developer for Security Finance and Delta1 
                    Environment 
SG CIB is the Corporate and Investment Banking arm of the Societe Generale Group. Present in over 50 countries across Europe, the Americas and Asia. SG CIB provides corporate, financial institutions, investors and public sector clients with value-added integrated financial solutions. 
As part of the Front Office IT department the Equity derivatives developer team oversees development and support of Front Office tools used by Delta 1 and Security finance traders a…
    ",Competitive,Hong Kong,"Internships & Graduate Trainee, Full time",Societe Generale,Updated on: 17 Mar 18
TRAINEE: Sales Assistant,"TRAINEE: Sales Assistant 
                    Environment 
SG CIB is the Corporate and Investment Banking arm of the Société Générale Group. Present in over 50 countries across Europe, the Americas and Asia.SG CIB provides corporate, financial institutions, investors and public sector clients with value-added integrated financial solutions. 
The Cross Asset Solution sales team services Hong Kong and Singapore Private Banks. The team provides investment products and services across all asset classes, including, equities, interest rates, commodities, credit, fo…
    ",Competitive,Hong Kong,"Internships & Graduate Trainee, Full time",Societe Generale,Updated on: 17 Mar 18
Infrastructure DevOps Engineer,"Eclipse Trading is a proprietary trading firm specializing in derivatives trading, including market making with its headquarters in Hong Kong. Combining our trading experience, technology and risk management, we currently trade the Asian markets and have offices in Hong Kong, Sydney and Shanghai. Technology is an integral part of our business, and we seek a high caliber individual for our development needs. 
                    The highly talented DevOps team is responsible for developing solutions which directly affect the operation of our Trading System. In…
    ",Competitive,Hong Kong,"Permanent, Full time",Eclipse Trading,Updated on: 15 Mar 18
Systems Analyst (Oracle E-Business Suite Financial),"Systems Analyst (Oracle E-Business Suite Financial) 
                    We are a well established and listed local commercial bank in Hong Kong, a member of Yuexiu Group, which is a state-owned enterprise group with the largest assets and leading performance in overall economic efficiency in Guangzhou, having total assets nearly RMB 420 billion as at the end of 2016. We are committed to actively expanding our business development in both Hong Kong and Mainland. To cope with our rapid growth, we are now inviting high caliber candidates to join us and pursue f…
    ",Negotiable,Hong Kong,"Permanent, Full time",Chong Hing Bank,Updated on: 14 Mar 18
Cloud Architect (HK/Cloud),"Cloud Architect (CA) is a key pre-sales technical position in company's cloud international business division. Our CA's are experienced cloud architects with comprehensive IT knowledge and industry insight and are, ultimately, the key to success on implementing projects. Cloud Architects are responsible for developing solutions and helping customers and partners to develop their applications and services on the cloud platform. 
                    Key Responsibilities:
Closely work with customers to ensure their cloud architecture is successfully implemented …
    ",Negotiable,Hong Kong,"Permanent, Full time",McGregor Boyall Associates Pte Ltd (Singapore),Updated on: 12 Mar 18
Senior Manager - Consulting,"Senior Manager - Consulting 
                    Job Summary: 
Experience: 10+ years 
Work Location: Hong Kong 
Key Responsibilities 
Business Development in Greater China region (mainly HK, China) 
Selling consulting engagements as well as helping to sell larger end to end deals and transformation programs to BFS clients 
Developing Cognizant's value propositions, solution concept/ design, front-ending the discussions with clients, closing deals 
Building and managing client relationships as a consulting partner, trusted advisor 
Leading consulting / BA deli…
    ",Competitive,Hong Kong,"Permanent, Full time",Cognizant Technology Solutions APAC,Updated on: 18 Mar 18
"Technology - End User Services Manager, Vice President, Hong Kong","See job description for details 
                    We are looking for an End User Service Manager (SM) to cover the Advisory Business Units (Investment Banking Division, Global Capital Market, Private Wealth Management, Research, Investment Management, Firm Management) with primary focus in Hong Kong and overseeing Asia Pacific region. 
The Service Manager's primary responsibility is maintaining stability, service and ensuring the availability of technology systems for the user environment. Operationally, the SM will need to provide frontline support, manag…
    ",Competitive,Hong Kong,"Permanent, Full time",Morgan  Stanley,Updated on: 17 Mar 18
Equity Derivatives IT Production Support Asia,"Equity Derivatives IT Production Support Asia 
                    Environment 
SG CIB is the Corporate and Investment Banking arm of the Société Générale Group. Present in over 50 countries across Europe, the Americas and Asia. SG CIB provides corporate, financial institutions, investors and public sector clients with value-added integrated financial solutions. 
A technically strong candidate who will provide level 2 support to the users of the Global Market activities' information system, focusing on EQD business activities, Warrants Market Making, Security…
    ",Competitive,Hong Kong,"Permanent, Full time",Societe Generale,Updated on: 17 Mar 18
Application Support Analyst,"Application Support Analyst 
                    Environment 
SG CIB is the Corporate and Investment Banking arm of the Société Générale Group. Present in over 50 countries across Europe, the Americas and Asia. SG CIB provides corporate, financial institutions, investors and public sector clients with value-added integrated financial solutions. 
A technically strong candidate who will provide level 2 support to the users of the Global Market activities' information system, focusing on EXO business activities, pricing, risk analysis and executions for sales, t…
    ",Competitive,Hong Kong,"Permanent, Full time",Societe Generale,Updated on: 17 Mar 18
"Senior C++ Developer, Greenfield development, Options Market Making, Equity Derivatives, Hong Kong","Senior C++ Developer, Greenfield development, Options Market Making, Equity Derivatives, Hong Kong 
                    ***Senior C++ Developer, Greenfield development, Options Market Making, Equity Derivatives, Hong Kong***
 
My client is a successful hedge fund that specializes in trading Asian Options, with a focus on a variety of complex algorithmic strategies including arbitrage and market-making. 
They are seeking a senior C++ developers with algorithmic trading/ market making experience to join their expanding and very impressive strategy development t…
    ",Excellent compensation packages,Hong Kong,"Permanent, Full time",BAH Partners,Updated on: 15 Mar 18
Associate - Equities Production Support - Hong Kong,"Nomura is now hiring Associate - Equities Production Support - Hong Kong 
                    Nomura Overview   
Nomura is an Asia-based financial services group with an integrated global network spanning over 30 countries. By connecting markets East & West, Nomura services the needs of individuals, institutions, corporates and governments through its three business divisions: Retail, Asset Management, and Wholesale (Global Markets and Investment Banking). Founded in 1925, the firm practices disciplined entrepreneurship while building on a long tradition of s…
    ",Competitive,Hong Kong,"Permanent, Full time",Nomura Asia,Posted on: 13 Mar 18
Manager/Senior Manager (Insurance)-Consulting-Advisory,"PwC - Mainland China, Hong Kong and Macau PwC China, Hong Kong and Macau work together on a collaborative basis, subject to local applicable laws. Collectively, we have around 600 partners and 15,000 people in total. 
                    We provide organisations with the professional service they need, wherever they may be located. Our highly qualified, experienced professionals listen to different points of view to help organisations solve their business issues and identify and maximise the opportunities they seek. Our industry specialisation allows us to he…
    ",面议,Hong Kong,"Permanent, Full time",PricewaterhouseCoopers Ltd,Updated on: 26 Feb 18
IT Programme Manager- Leading Retail Bank,"One of the largest international banks is urgently looking for a Senior Programme Manager to oversee a portfolio of large scale IT projects and design the processes, structure, cycle and implementation strategy required with an Agile approach for smooth delivery. 
                    Responsibilities
Providing entity and functional management for a Hong Kong based programme and portfolio delivery team.
Drive the team to the next level in adoption of agile and scrum practices through previous experiences, best practice and a collaborative attitude to help driv…
    ",Competitive,Hong Kong,"Permanent, Full time",TEKsystems Hong Kong,Updated on: 18 Mar 18
Systems Analyst,"Systems Analyst 
                    WELLINGTON MANAGEMENT 
Wellington Management offers comprehensive investment management capabilities that span nearly all segments of the global capital markets. Our investment solutions, tailored to the unique return and risk objectives of institutional clients in more than 50 countries, draw on a robust body of proprietary research and a collaborative culture that encourages independent thought and healthy debate. As a private partnership, we believe our ownership structure fosters a long-term view that aligns our perspe…
    ",Competitive,Hong Kong,"Permanent, Full time","Wellington Management Company, LLP",Updated on: 17 Mar 18
Analyst / Senior Consultant – Business Risk ( Food Safety ) – Risk Advisory – Hong Kong,"Analyst / Senior Consultant – Business Risk ( Food Safety ) – Risk Advisory – Hong Kong 
                    About Deloitte China
The Deloitte China network of firms, backed by the global Deloitte network, deliver a full range of audit, consulting, financial advisory, risk advisory and tax services to local, multinational and growth enterprise clients. We are one of the leading professional services providers in this marketplace with 21 offices in Beijing, Hong Kong, Shanghai, Changsha, Chengdu, Chongqing, Dalian, Guangzhou, Hangzhou, Harbin, Hefei, Jinan, Ma…
    ",Competitve,Hong Kong,"Permanent, Full time",Deloitte Touche Tohmatsu,Posted on: 13 Mar 18
Senior Consultant - Oracle - Consulting - Hong Kong,"Senior Consultant - Oracle - Consulting - Hong Kong 
                    About Deloitte China
The Deloitte China network of firms, backed by the global Deloitte network, deliver a full range of audit, consulting, financial advisory, risk advisory and tax services to local, multinational and growth enterprise clients. We are one of the leading professional services providers in this marketplace with 21 offices in Beijing, Hong Kong, Shanghai, Changsha, Chengdu, Chongqing, Dalian, Guangzhou, Hangzhou, Harbin, Hefei, Jinan, Macau, Nanjing, Shenyang, Shenzhen, Su…
    ",Competitve,Hong Kong,"Permanent, Full time",Deloitte Touche Tohmatsu,Posted on: 13 Mar 18
Associate Financial Analyst,"An exciting opportunity for a qualified and driven finance professional to apply their analytical skills to provide high quality, timely analysis and reports on the financial strength of a portfolio of insurance companies. 
                    For more than 100 years, A.M. Best has served the needs of the global business community with information, products and services that set the standard for insurance industry ratings and analysis.  Our rating process provides unparalleled quantitative and qualitative analytical depth for the Best’s Ratings assigned to in…
    ",Competitive,Hong Kong,"Permanent, Full time",A.M. Best Asia-Pacific Ltd,Updated on: 14 Mar 18
Business Risk Analyst,"Business Risk Analyst 
                    Hong Kong 
City 
Hong Kong 
Job Type 
Full Time 
Your role 
Are you good with data and data visualization? Are you analytical and able to extract a story from numbers? We're looking for someone like that who can: 
– support in the development of risk reporting to support supervisors in their roles 
– develop Tableau dashboards for use in risk discovery activities for the division 
– further enhance our self-servicing functionality 
– support the ongoing enhancements in data quality and automation 
– manage multiple t…
    ",Competitive,Hong Kong,"Permanent, Full time",UBS AG,Updated on: 17 Mar 18
"Global Markets Shared Operations: Assistant Vice President, Quantitative Middle Office, Global Banking and Market Operations","Global Markets Shared Operations: Assistant Vice President, Quantitative Middle Office, Global Banking and Market Operations 
                    About Bank of America Merrill Lynch:  
Our purpose as a firm is to make financial lives better, through the power of every connection. Across the world, we partner with leading corporate and institutional investors through our offices in more than 40 countries. In the U.S alone, we serve almost all Fortune 500 companies and approximately 59 million consumers and small-business customers. We provide a full suite of f…
    ",Competitive,Hong Kong,"Permanent, Full time",Bank Of America / Merrill Lynch,Updated on: 18 Mar 18
"Associate / Senior Associate, Equities Client Relationship Management, Asia – Hong Kong","Associate / Senior Associate, Equities Client Relationship Management, Asia – Hong Kong 
                    Commodities and Global Markets provides clients with an integrated, end-to-end offering across global markets including equities, fixed income, foreign exchange and commodities. 
Find out more about Macquarie at www.macquarie.com/about. 
The account management / CRM role should be a building block to helping the sales team embrace a data-oriented focus to their role and help create quantitative frameworks that guide client tiering, resource management,…
    ",Competitive,Hong Kong,"Permanent, Full time",Macquarie Group,Updated on: 18 Mar 18
Research Assistant,"Research Assistant of Research Department in Shenzhen 
                    Job Description:
This job is to be performed by a Research Assistant who is responsible, under direction, for collecting data and relevant information for recommendations to the Research Analysts. Work requires use of accounting and financial knowledge, MS office applications, internet and any other resources and tools to obtain data and information. Principal Duties and Responsibilities include:
 
Prepares complete sets of weekly, monthly and quarterly financial reports to sales peopl…
    ",negotiable,"Shenzhen, Guangdong Sheng, China","Permanent, Full time",中国国际金融股份有限公司,Updated on: 12 Mar 18
Analytics Manager - Multinational FMCG,"Analytics Manager - Multinational FMCG 
                    Analytics Manager - Multinational FMCG
Your new company
Your new company is an multinational FMCG. Their product and brand is well-known worldwide. The organization is looking for an experienced Analytics Manager to join their team.
Your new role
In your new role you will be responsible for simplifying their master data management process. You will own the master data management and ensure quality of service. You will need to develop new data strategy locally but also collaborate with regional BI tea…
    ",Negotiable,Hong Kong,"Permanent, Full time",Hays Digital Technology,Posted on: 15 Mar 18
Portfolio Manager - Corporate Partnership,"Please refer to detailed JD 
                    We are currently looking for Portfolio Manager in Corporate Partnerships.
Key Objectives:
§ Responsible to process, review, cleaning, reorganising and modelling data for decision making in business
§ Responsible for preparing Portfolio Reports for management submission
§ Work closely with Relationship Managers (RMs) to identify existing portfolio clients in an effort to increase penetration and cross sell Bank products
§ Develop different propositions to accommodate different clients' needs
Key Responsibilities…
    ",Negotiable,Hong Kong,"Permanent, Full time",Standard Chartered Bank Hong Kong,Posted on: 15 Mar 18
Middle Office Associate/Assistant Manager- Global Asset Manager,"An US Asset Manager is looking for a Middle Office Associate to join in their team in Hong Kong. 
                    US Global Leading Asset Manager
Investment Operations
Attractive Compensation& Benefit
Responsibilities:
Resolve trade exceptions, oversee the satisfactory resolution of trade exceptions as notified by the out sourced service provider
Liaise directly with the out sourced service provider, brokers and/or custodians to ensure trades are successfully processed
Resolve and answer queries from both internal and external stakeholders
Collect data on…
    ",Negotiable,Hong Kong,"Permanent, Full time",Chandler Macleod,Posted on: 16 Mar 18
Supervisor– Middle Office Services,"Maples Fund Services is a leading independent provider of accounting, middle office, risk reporting and administration to onshore and offshore hedge funds, fund of funds, private equity, family offices, real estate funds and managed account platform services. With offices in key locations around the world, its clients include global financial institutions, institutional investors, investment managers and international corporations. 
                    Supervisor- Middle Office Services
The Supervisor will join a global team that is responsible for the oversi…
    ","NA",Hong Kong,"Permanent, Full time",Maples Fund Services,Updated on: 15 Mar 18
Product Control - equities and derivatives (Hedge fund),"My client is an Asian equities focused alternative investment fund led by a team with a strong, and consistent, track record of returns. As part of their continued growth they are seeking a product manager experienced with a high volume equities trading business. 
                    Role:
As product manager you will take responsibility for the daily and monthly PnL functions.
You will be expected to accurately report internally and communicate with all relevant external parties (prime brokers, administrators, regulators etc.) to ensure consistently accurate …
    ",Highly competitive,Hong Kong,"Permanent, Full time","Pure Search Hong Kong                    , EA Licence No:",Updated on: 18 Mar 18
Digital Messaging Performance Specialist - Retail Banking and Wealth Management,"Some careers open more doors than others. 
                    If you’re looking to unlock new job opportunities, take a look at the possibilities right on your doorstep here at HSBC.
Retail Banking and Wealth Management serves more than 50 million customers worldwide with a complete range of banking and wealth management services to enable them to manage their finances and protect and build their financial futures. It is a global business that brings together management responsibility for Retail Banking, Wealth Management, Insurance and Asset Management with…
    ",Competitive,Hong Kong,"Permanent, Full time",HSBC,Posted on: 08 Mar 18
软件系统工程师,"开发核心投资系统。全日制本科以上，国内外计算机专业或自认有同等基本能力；（目标院校：清华北大浙大北邮北航等，目标单位：阿里等）. 
                    公司官网：www.jasperam.com
任职要求：
1. 全日制本科以上，国内外计算机专业或自认有同等基本能力；（目标院校：清华北大浙大北邮北航等，目标单位：阿里等）
2. 有Geek精神，对技术充满热爱，自我学习动力强，动手能力强；
3. 熟悉 Java，Scala，Python，JavaScript/TypeScript，Angular4 一种或多种；
4. 熟悉 Hadoop，Spark等大数据技术栈；
5. 熟悉 MySQL等传统DBMS；Mongo等NoSQL 一种或多种；
工作职责：
开发核心投资系统。
公司福利：
①多角度的健康及安全保障
五险一金（按深圳最高比例购买公积金）、商业意外险、健康体检
②多层次的生活保障
香格里拉酒店供应三餐、上午果盘、下午点心、吃不完的零食、饮料
③多类别的业务生活
每周定期的羽毛球、篮球、网球、乒乓球，公司自有的免费健身房
④够帅气的额外假期
节假日无需随国家规定补休
⑤够大气的节日福利
节日礼品/节日红包，结婚和生育慰问，生日蛋糕
⑥够贴心的各种福利
提供午休场所、免费按摩、免费的干洗衣服、…
    ",有竞争力的薪酬待遇、优渥的员工福利、团队优秀、广阔发展前景,"Shenzhen, Guangdong Sheng, China","Permanent, Full time",Jasper Capital,Updated on: 16 Mar 18
Senior Operations Officer (Network Security),"A newly created regional role has arisen within one of Hong Kong’s leading financial services companies. As a result of increasing investment in mobile and IoT technology throughout the business, this role will be responsible for working as part of a global team providing engineering, configuration and on-going security expertise around firewall, IDS and web proxy systems. 
                    WHAT will I be doing?
Become the regional system expert for network security – advising on all matters related to firewalls, web proxy, intrusion detection systems and …
    ",40-45k,Hong Kong,"Permanent, Full time",Gravitas Recruitment Group,Posted on: 15 Mar 18
"Associate, Management Accounting, Finance & Treasury Division","As a leading investment bank in China and Hong Kong region, the investment banking arm of Bank of China, BOC International Holdings Limited (“BOCI”), is now seeking highly motivated, creative and success-oriented professional who would like to pursue the career for supporting our capital market business. 
                    Responsibilities:
Build business analysis template/model and perform business financial analysis
Assist in setting up systems for new reporting requirements
Lead Forecast and Budget exercise and perform related data analysis
Prepare routi…
    ",Negotiable,Hong Kong,"Permanent, Full time",BOC International,Updated on: 12 Mar 18
Network Engineer - FSI / MNC - Permanent Position,"- Network Design, Planning, Budgeting and Implementation - Work on cross regional projects. - Heavy exposure on latest network technologies - SDN 
                    Company Profile
The company is Multinational Corporation that has a heavy exposure into cutting edge network technologies. This role will provide the desired candidate unlimited opportunities not just in handling some unique critical issues it also offers the candidate a chance to work on some of the biggest projects within the market.
Position Responsibilities:
Part of design, implementation, p…
    ",Negotiable,Hong Kong,"Permanent, Full time",TEKsystems Hong Kong,Updated on: 18 Mar 18
TRAINEE: Quantitative Research,"TRAINEE: Quantitative Research 
                    Environment 
SG CIB is the Corporate and Investment Banking arm of the Societe Generale Group. Present in over 50 countries across Europe, the Americas and Asia.SG CIB provides corporate, financial institutions, investors and public sector clients with value-added integrated financial solutions. 
The Research Trainee will be based in Hong Kong. The successful candidate will be given a firsthand experience of mainly quantitative strategy research within the field of investment banking. He will help the quanti…
    ",Competitive,Hong Kong,"Internships & Graduate Trainee, Full time",Societe Generale,Updated on: 17 Mar 18
Strategist - Equity Research,"Strategist - Equity Research 
                    China Merchants Securities International Company Co., Limited (“we”), wholly owned by China Merchant Securities Company Limited (Stock Code: 6099.HK/600999.SH), is principally engaged in the provision of a wide range of financial services including brokerage, corporate financing, sales and trading, leveraged and structured lending, asset management, private equity, global commodities and futures. We are searching high caliber talents to help develop and take part in the growth of our business.
Job Responsibili…
    ",Negotiable,Hong Kong,"Permanent, Full time","China Merchants Securities International Co., Ltd",Updated on: 15 Mar 18
Analyst/Associate - Corporate Actions,"-- 
                    About our Client
Our client is an international hedge fund based in Hong Kong with a multi-billion dollar AUM. They are looking for a Corporate Actions Specialist to join their Operations team.
Job Description
In this role, your prime responsibilities would include:
Research & Announcement of all Voluntary and Mandatory corporate action events in multiple APAC markets
Processing of all client instructions in the operating system, ensuring all lodgments are executed into the market
Disbursement of all payments of cash and shares to clie…
    ",Bonus,Hong Kong,"Permanent, Full time",Hudson Hong Kong,Posted on: 12 Mar 18
Asset Management - HR - Senior HR Project Officer (Agency Temp),"BNP Paribas offers you an exciting career opportunity in an international, challenging business environment characterized by high pace and diversity with focus on creating valuable relations with our customers. We offer a competitive salary & benefits package and also an excellent work environment where you’re valued as part of our team! 
                    This job is under BNP PARIBAS ASSET MANAGEMENT Asia Ltd. 
Role Description and purpose 
You will support the Head of HR Projects, APAC across a range of responsibilities initially focusing on HRIS project…
    ",Competitive,Hong Kong,"Contract, Full time",BNP Paribas (Asia),Updated on: 18 Mar 18
"Senior System Analyst/ System Analyst, Wealth Management","Responsible for technical support in the development and maintenance of application software and products. 
                    Responsibilities
Consolidate and analyze business needs
Evaluate the software packages and recommend ready-made solutions to meet business needs
Ensure the development works follow department standards and guidelines
Prepare documentation of the analysis and design works
Assist AVP, Application Development to plan and supervises the application implementation
Requirements
Degree holder in Information Technology or related discipline
…
    ",Negotiable,Hong Kong,"Permanent, Full time",China CITIC Bank International Limited,Updated on: 13 Mar 18
Business Analyst - Corporate Bank,"Top Corporate Bank searching for Business Analyst 
                    Top Corporate Bank searching for Business Analyst
Your new company
An American retail bank is hiring a Business Analyst to join their growing Hong Kong team. The company is mid-sized here in Hong Kong but have their regional headquarters situated here and have stable growth in Hong Kong.
Your new role
Your new role reports to the IT Director and you will be responsible for:
Being the bridge between IT and the business to ensure a smooth project process
Your main stakeholders will be Financ…
    ",Negotiable,Hong Kong,"Permanent, Full time",Hays Finance Technology Hong Kong,Posted on: 01 Mar 18
"Assistant Vice President / Associate, Investment Banking","As a leading investment bank in China and Hong Kong region, the investment banking arm of Bank of China, BOC International Holdings Limited (“BOCI”), is now seeking highly motivated, creative and success-oriented professional who would like to pursue the career for supporting our capital market business. 
                    Responsibilities:
Assist in origination, coordinate efforts to prepare pitch books and proposals, and participate in client presentations;
Participate in project execution and coordinate professional parties for primary and secondary offe…
    ",Negotiable,Hong Kong,"Permanent, Full time",BOC International,Posted on: 27 Feb 18
"Manager, Prime Brokerage Middle Office","Our client is an international, established prime broker. Due to expansion, they are looking to hire an operations professional to join their Hong Kong team. 
                    The goal for the team is to follow all the trade life cycle from booking to settlement and ensure all the operations done by the client are executed and settled smoothly and consequently all the information's reported in the client portfolio are accurate and verified.
Main activities are:
Booking and monitoring the operations done by the hedge funds
Follow the static data - clients a…
    ",Negotiable,Hong Kong,"Permanent, Full time",Profile Search & Selection Hong Kong,Updated on: 15 Mar 18
"Analyst, Financial Accounting","As a leading investment bank in China and Hong Kong region, the investment banking arm of Bank of China, BOC International Holdings Limited (“BOCI”), is now seeking highly motivated, creative and success-oriented professional who would like to pursue the career for supporting our capital market business. 
                    Responsibilities:
Keeping proper accounting books and records
Perform reconciliation of banks, brokers and exchanges
Performing month end closing
Involving in workflow automation project
Providing support to other team members
Requirement…
    ",Negotiable,Hong Kong,"Permanent, Full time",BOC International,Updated on: 14 Mar 18
Client Services Analyst - Buyside,"A growing Chinese Securities firm is looking for 2 contractors to join their Client Services team to focus on KYC, on-boarding and client services. Office is in premium location in Central. The is a 9/12 months contract, with Temp to perm Opportunity. Candidates with 1-2 years of Financial Services KYC and account opening is highly preferred. 
                    RESPONSIBILITIS 
Responsible for account opening of Securities, Futures and related financial products business in timely manner
Perform KYC and AML checking
Handle daily update requests from clients…
    ",HKD18000 - HKD25000 per month,Hong Kong,"Temporary, Full time",Robert Walters Hong Kong,Posted on: 01 Mar 18
Lead Cutting-Edge Javascript / Node.js Fullstack Developer - Top-tier Global Financial Firm,"A unique, cutting-edge development opportunity with an elite, global investment bank; Excellent remuneration and growth opportunity; Non-Banking/Finance candidates are welcome 
                    Our client, a leading global investment bank, is looking for an experienced, senior javascript / web developer with proven experience in enterprise systems to lead their development team in Asia. The successful candidate will work on green-field project to build a global, strategic external client facing trading system including server-side and UI
Responsibilities:
…
    ",Excellent Remuneration,Hong Kong,"Permanent, Full time",Pinpoint Asia Limited,Posted on: 17 Mar 18
Agile Change Management Director - Financial Institution,"Our client, a leading global financial institution is looking for a Director to manage the Agile Change Management across Asia. The firm is making a firmwide change with multiple transformation projects. It is a high profile position in the region to drive the overall transformation in a large organization. 
                    Responsibilities:
Lead the Change Management and Transformation strategy across Asia. 
Work with the senior management team and business leader to drive the Transformation strategy and direction. 
Introduce Agile principles, Scrum meth…
    ",Excellent Remuneration,Hong Kong,"Permanent, Full time",Pinpoint Asia Limited,Posted on: 17 Mar 18
"Deputy General Manager, Financial Reporting Head","Lead the Financial Reporting Section to ensure timely and accurate financial reporting for management decision and the compliance of statutory and regulatory requirements in the areas of auditing and financial information preparation for the Bank Group and their subsidiaries. 
                    Key Responsibilities
• Lead a team to manage all activities of regular financial reporting, which include month-end closing, monthly reports preparation and variance explanation.
• Ensure timely production and submission of banking returns requested by HKMA or other …
    ",Negotiable,Hong Kong,"Permanent, Full time",China CITIC Bank International Limited,Updated on: 16 Mar 18
"Manager, Transitions","Invesco is a leading global asset management firm with more than $917.5B* in assets under management. We provide our retail and institutional clients a diverse and comprehensive range of investment capabilities to help people get more out of life. Invesco is publicly traded on the 
                    Invesco is a leading global asset management firm with more than $917.5B* in assets under management. We provide our retail and institutional clients a diverse and comprehensive range of investment capabilities to help people get more out of life. Invesco is pub…
    ",Not Specified,Hong Kong,"Permanent, Full time",Invesco (Hong Kong) Limited,Updated on: 13 Mar 18
"Senior Manager, Intermediary Sales","Invesco is a leading global asset management firm with more than $830B* in assets under management. We provide our retail and institutional clients a diverse and comprehensive range of investment capabilities to help people get more out of life. Invesco is publicly traded on the 
                    Invesco is a leading global asset management firm with more than $830B* in assets under management. We provide our retail and institutional clients a diverse and comprehensive range of investment capabilities to help people get more out of life. Invesco is publicl…
    ",Not Specified,Hong Kong,"Permanent, Full time",Invesco (Hong Kong) Limited,Updated on: 13 Mar 18
Senior Business Analyst (Up to 60k) - Rolling 6 months,"Great opportunity for strong business growth with a reputable investment bank in Hong Kong, urgently looking for a Business Analyst to join their business for a Control and Regulatory project. 
                    The Company 
Here is a special opportunity to expand your skill set and achieve your full career potential. Our client is experiencing sustainable, long term growth, and ongoing expansion means your talents as an exceptional Business Analyst are needed to drive key initiatives. You will partner with the business partners and IT teams, playing an int…
    ",Negotiable,Hong Kong,"Contract, Full time",Robert Half Hong Kong,Posted on: 28 Feb 18
"Associate, Financial Institutions, Global Banking","The Client Manager is the pivotal relationship in the Client Delivery team responsible for delivering exceptional client account management. The Client Manager is responsible for proactively managing the client account on all day to day maintenance activities to ensure the highest level of client service and relationship health. The Client Manager will support the Senior Bankers/Bankers on an aligned client portfolio to ensure strong client delivery execution. 
                    The role will support insurance portfolios comprise of global and regional insu…
    ",Negotiable,Hong Kong,"Permanent, Full time",Standard Chartered Bank Hong Kong,Posted on: 23 Jan 18
"HK - GCB - Assistant Manager, Client Experience Journey","HK - GCB - Assistant Manager, Client Experience Journey 
                    Primary Location: Hong Kong SAR of PRC,Hong Kong,Hong Kong
Education: Bachelor's Degree
Job Function: Operations
Schedule: Full-time
Shift: Day Job
Employee Status: Regular
Travel Time: No
Job ID: 17070977
Description 
Assist in devising methods and procedures in obtaining, maintaining and updating large sets of service tracking data including collection, coding and tabulation
Study and analyze client voices and generate regular management reports
Provide leadership responsibility in…
    ",Competitive,Hong Kong,"Permanent, Full time",Citi,Updated on: 18 Mar 18
HK - GCB - Decision Management Analyst,"HK - GCB - Decision Management Analyst 
                    Primary Location: Hong Kong SAR of PRC,Hong Kong,Hong Kong
Education: Bachelor's Degree
Job Function: Decision Management
Schedule: Full-time
Shift: Day Job
Employee Status: Regular
Travel Time: No
Job ID: 18008794
Description 
Governs data quality for analytics, reporting and customer communications
Facilitate the resolutions of Data Quality issues raised by both Business / Regulators
Identifies and drive regional solutions to help predict, improve and measure the success of key business to business…
    ",Competitive,Hong Kong,"Permanent, Full time",Citi,Updated on: 18 Mar 18
Corporate Action Advisor- Top Tier Investment Bank,"My client is looking for Corporate Action Specialist to join their team. If you are looking for a challenging and fast paced role with diverse ranged of responsibilities in a well-established Investment Bank, please apply today. 
                    Job Duties 
Leading meetings with senior managers to define and gather requirements and overall objectives
Research and announcement of all voluntary and mandatory corporate events relevant to client base
Diarize corporate actions announcement daily and keep good record of each event
Understand and identify approp…
    ",Competitive package,Hong Kong,"Permanent, Full time",Aston Carter Hong Kong,Updated on: 16 Mar 18
Fixed Income Trader,"To develop the trading side of the fixed income market making business and manage the risks in inventory positions. Through working closely with the FI sales team and other institutional sales teams, to help build a full scale fixed income platform in CMS to cover international bond markets with current focus in Asian markets. 
                    China Merchants Securities International Company Co., Limited (“we”), wholly owned by China Merchant Securities Company Limited (Stock Code: 6099.HK/600999.SH), is principally engaged in the provision of a wide rang…
    ",Negotiable,Hong Kong,"Permanent, Full time","China Merchants Securities International Co., Ltd",Posted on: 16 Mar 18
"Associate, Product Analyst - Equities","Associate, Product Analyst - Equities 
                    China Merchants Securities International Company Co., Limited (“we”), wholly owned by China Merchant Securities Company Limited (Stock Code: 6099.HK/600999.SH), is principally engaged in the provision of a wide range of financial services including brokerage, corporate financing, sales and trading, leveraged and structured lending, asset management, private equity, global commodities and futures. We are searching high caliber talents to help develop and take part in the growth of our business.
Job Res…
    ",Negotiable,Hong Kong,"Permanent, Full time","China Merchants Securities International Co., Ltd",Updated on: 15 Mar 18
Equity Research Writing Analysts,"Equity Research Writing Analysts in Property, Financials, Consumer & Gaming/ Lodging/ Leisure Sectors 
                    China Merchants Securities International Company Co., Limited (“we”), wholly owned by China Merchant Securities Company Limited (Stock Code: 6099.HK/600999.SH), is principally engaged in the provision of a wide range of financial services including brokerage, corporate financing, sales and trading, leveraged and structured lending, asset management, private equity, global commodities and futures. We are searching high caliber talents to h…
    ",Negotiable,Hong Kong,"Permanent, Full time","China Merchants Securities International Co., Ltd",Updated on: 15 Mar 18
